BJD	RV	RVerr	BIS	BISerr	FWHM	FWHMerr
5.744805213799999910e+04	1.036163705425827715e+02	2.367136103677465464e-01	-2.077666666666666728e+01	4.734272207354930928e-01	7.051108264862487886e+03	5.562769843642044743e-01
5.744913852566666901e+04	1.005989276610999497e+02	2.367136103677465464e-01	-1.950333333333333385e+01	4.734272207354930928e-01	7.051037872974458878e+03	5.562769843642044743e-01
5.745095200366666541e+04	1.022793294756411342e+02	2.482606157515390988e-01	-2.027666666666666728e+01	4.965212315030781975e-01	7.050673552924975411e+03	5.834124470161168308e-01
5.745200212166667188e+04	1.034620811240695843e+02	2.367136103677465464e-01	-2.079333333333333300e+01	4.734272207354930928e-01	7.050916048131413845e+03	5.562769843642044743e-01
5.745299039200000698e+04	1.031520826251639278e+02	2.424871130596428503e-01	-2.051333333333333542e+01	4.849742261192857007e-01	7.050673223935292299e+03	5.698447156901605970e-01
5.745399258633333375e+04	1.039428012277044928e+02	2.367136103677465464e-01	-1.968666666666666387e+01	4.734272207354930928e-01	7.050798267790512000e+03	5.562769843642044743e-01
5.745517627666666522e+04	1.045750230200901427e+02	2.367136103677465464e-01	-1.982666666666666444e+01	4.734272207354930928e-01	7.051167713090452708e+03	5.562769843642044743e-01
5.745592664266666543e+04	1.029174556913198870e+02	2.367136103677465464e-01	-1.986333333333333329e+01	4.734272207354930928e-01	7.051939474024223273e+03	5.562769843642044743e-01
5.745792091100000107e+04	9.985897418533325265e+01	2.367136103677465464e-01	-1.992666666666666586e+01	4.734272207354930928e-01	7.051906507587529632e+03	5.562769843642044743e-01
5.745894991399999708e+04	1.009499999185341750e+02	2.367136103677465464e-01	-2.059666666666666401e+01	4.734272207354930928e-01	7.050298854669813409e+03	5.562769843642044743e-01
5.746192224033333332e+04	1.010349886003221371e+02	2.424871130596428503e-01	-2.136666666666666359e+01	4.849742261192857007e-01	7.050484329785260343e+03	5.698447156901605970e-01
5.746301430700000492e+04	1.035700540435024806e+02	2.367136103677465464e-01	-2.059333333333333371e+01	4.734272207354930928e-01	7.049409486831708818e+03	5.562769843642044743e-01
5.746388606133333087e+04	1.029084347250184805e+02	2.482606157515390988e-01	-2.106333333333333258e+01	4.965212315030781975e-01	7.051011220514737943e+03	5.834124470161168308e-01
5.746492195866666589e+04	1.015448505520165128e+02	2.424871130596428503e-01	-2.027333333333332988e+01	4.849742261192857007e-01	7.050884127747194725e+03	5.698447156901605970e-01
5.746802213966666750e+04	1.025054917729084423e+02	3.002221399786053069e-01	-2.135333333333333528e+01	6.004442799572106138e-01	7.050473898708633897e+03	7.055220289497224906e-01
5.747006171966666443e+04	1.036901743945614385e+02	2.367136103677465464e-01	-2.130333333333333101e+01	4.734272207354930928e-01	7.049916462697595307e+03	5.562769843642044743e-01
5.747202667466666753e+04	1.031886049982848732e+02	2.424871130596428503e-01	-2.094000000000000128e+01	4.849742261192857007e-01	7.050798276418386195e+03	5.698447156901605970e-01
5.747308424233333062e+04	9.905212601616123891e+01	2.367136103677465464e-01	-1.948666666666666458e+01	4.734272207354930928e-01	7.050775379144349245e+03	5.562769843642044743e-01
5.747402722733333212e+04	1.023368797254779992e+02	2.367136103677465464e-01	-2.078000000000000114e+01	4.734272207354930928e-01	7.050860993372168195e+03	5.562769843642044743e-01
5.747693832633333659e+04	1.006091329974393602e+02	2.367136103677465464e-01	-2.133333333333333215e+01	4.734272207354930928e-01	7.050362203827360645e+03	5.562769843642044743e-01
5.748019380333333538e+04	1.018272762437402861e+02	2.367136103677465464e-01	-2.025000000000000355e+01	4.734272207354930928e-01	7.048693446868790488e+03	5.562769843642044743e-01
5.748221153533333563e+04	1.021621679695604570e+02	2.424871130596428503e-01	-2.050333333333333385e+01	4.849742261192857007e-01	7.048019871550771313e+03	5.698447156901605970e-01
5.748322076633333199e+04	9.912580805254197003e+01	2.424871130596428503e-01	-2.012666666666666515e+01	4.849742261192857007e-01	7.047664454869959627e+03	5.698447156901605970e-01
5.748489886933333037e+04	1.005227626677675374e+02	2.424871130596428503e-01	-2.069000000000000128e+01	4.849742261192857007e-01	7.047970712808349163e+03	5.698447156901605970e-01
5.748607112833333667e+04	9.944863674670715170e+01	2.367136103677465464e-01	-2.001666666666666572e+01	4.734272207354930928e-01	7.047610929233979732e+03	5.562769843642044743e-01
5.748707833733333246e+04	1.048539116115231309e+02	2.367136103677465464e-01	-2.091000000000000014e+01	4.734272207354930928e-01	7.047768360258752182e+03	5.562769843642044743e-01
5.748785751466666261e+04	1.009339568178436224e+02	2.424871130596428503e-01	-2.151333333333333186e+01	4.849742261192857007e-01	7.048147878572847731e+03	5.698447156901605970e-01
5.748892945733332454e+04	1.037058882850600412e+02	2.367136103677465464e-01	-2.069333333333333158e+01	4.734272207354930928e-01	7.049268478141024389e+03	5.562769843642044743e-01
5.748989222966666421e+04	1.019431035164522399e+02	2.424871130596428503e-01	-2.065666666666666629e+01	4.849742261192857007e-01	7.049060268152404205e+03	5.698447156901605970e-01
5.749101545666666789e+04	1.036727297927435529e+02	2.367136103677465464e-01	-2.000000000000000000e+01	4.734272207354930928e-01	7.049621567424213026e+03	5.562769843642044743e-01
5.749305537300000287e+04	1.040934724456496383e+02	2.424871130596428503e-01	-1.904333333333333300e+01	4.849742261192857007e-01	7.051924481453229419e+03	5.698447156901605970e-01
5.749806077433333121e+04	1.011794843199061660e+02	2.386536309289166435e-01	-1.918666666666666742e+01	4.773072618578332871e-01	7.047613073944966345e+03	5.608360326829541220e-01
5.749919873899999220e+04	1.020062483952262227e+02	2.424871130596428503e-01	-2.137333333333333485e+01	4.849742261192857007e-01	7.047431654200060620e+03	5.698447156901605970e-01
